label,comment,baseline_pred
1,they should just remove all stats and have one stat ilevel,0
1,how many black owned businesses could there be,0
1,because the uk is so under the radar,0
0,i saw the row glitch get hotfixed at corp pre eoc i was on a mass team and i got the very first hotfixed drop so i missed a sigil drop to myself by 1 kill,0
1,dont bring all that financial crap into this economic discussion he just told you it is obviously the womens fault,0
0,i am not guanna yu should do so for yours though,0
1,finally no more reasons to whiff on forklift guy,0
1,its there incase you forgot you lost duh,0
0,ok but vp is known for being a political wasteland he would be as useful as a potato is if he was a vp,0
1,optic cs go amirite,1
